Histoplasma.Isolates	Starfish.Length	Genome.Length	Percentage
Histoplasma_capsulatum_HISSP-FGMAR2044	0	0	0
Histoplasma_capsulatum_HISSP-FGLIN2055	0	0	0
Histoplasma_capsulatum_HISSP-FGJOS2044	0	0	0
Histoplasma_capsulatum_HISSP-FGFIN2028	0	0	0
Histoplasma_capsulatum_HISSP-FGFER2036	0	0	0
Histoplasma_capsulatum_HISSP-FGFAR0189	0	0	0
Histoplasma_capsulatum_HISSP-FGFAN2059	0	0	0
Histoplasma_capsulatum_HISSP-FGBON2001	35103	23710091	0.001480509
Histoplasma_capsulatum_HISSP-FGBIK2051	0	0	0
Histoplasma_capsulatum_HISSP-FGAMA2041	60741	20307679	0.002991036
Histoplasma_capsulatum_HISSP-CM6408	0	0	0
Histoplasma_capsulatum_HISSP-CM6015	35139	19585677	0.001794117
Histoplasma_capsulatum_HISSP-B05821	0	0	0
Histoplasma_capsulatum_HISSP-11571-Belem1	35179	21937402	0.001603608
Histoplasma_capsulatum_HISSP-1014-Belem3	129640	31744825	0.004083815
Histoplasma_capsulatum_07_12-RJ	155993	17244466	0.009045975
Histoplasma_capsulatum_104_p_06	998524	28442945	0.03510621
Histoplasma_capsulatum_117_p_12	1005943	28587451	0.035188272
Histoplasma_capsulatum_122_p_10_B	1401877	28585056	0.049042304
Histoplasma_capsulatum_136_P_07	1111570	28536980	0.038951914
Histoplasma_capsulatum_144_p_08	1352436	28329803	0.047738984
Histoplasma_capsulatum_1517_p_17	1437350	28646603	0.050175234
Histoplasma_capsulatum_256_P_18	844888	28534158	0.029609705
Histoplasma_capsulatum_316_p_10	963112	28625580	0.033645152
Histoplasma_capsulatum_327_P_12	996313	28431708	0.03504232
Histoplasma_capsulatum_343_p_18	1254683	28732569	0.043667623
Histoplasma_capsulatum_388_p_11	1326704	28579830	0.04642099
Histoplasma_capsulatum_ES2_83Z	463833	33292477	0.013932066
Histoplasma_capsulatum_ES2_85Z	96364	28184349	0.003419061
Histoplasma_capsulatum_ES2_86Z	558450	40716201	0.013715671
Histoplasma_capsulatum_ES2_88Z	191533	25109007	0.00762806
Histoplasma_capsulatum_ES2_89Z	190940	34058413	0.005606251
Histoplasma_capsulatum_ES2_90Z	20836	36554438	0.000569999
Histoplasma_capsulatum_SA15	56525	28298332	0.001997468
Histoplasma_capsulatum_CB053	369490	23649534	0.015623564
Histoplasma_capsulatum_CB055	513861	23847241	0.021548027
Histoplasma_capsulatum_CB062	499764	28739478	0.01738946
Histoplasma_capsulatum_CB063	799912	28655085	0.027915185
Histoplasma_capsulatum_CB064	1017354	28635935	0.035527179
Histoplasma_capsulatum_CB065	730827	29229412	0.025003137
Histoplasma_capsulatum_CB066	258774	28630619	0.009038366
Histoplasma_capsulatum_CB168	415575	28670342	0.014494944
Histoplasma_capsulatum_CB174	613860	28472442	0.021559795
Histoplasma_capsulatum_CB180	713819	28608116	0.024951626
Histoplasma_capsulatum_CB186	282795	28220179	0.010021021
Histoplasma_capsulatum_CB192	638169	28781169	0.022173144
Histoplasma_capsulatum_Dr_Anuradha_Fungal_WGS_S11	1116517	28690043	0.038916533
Histoplasma_capsulatum_Dr_Anuradha_Fungal_WGS_S14	1184365	28326430	0.041811305
Histoplasma_capsulatum_Dr_Anuradha_Fungal_WGS_S16	720889	28332259	0.025444106
Histoplasma_mississippiense_WU24	3516162	32531515	0.108084791
Histoplasma_ohiense_G217B	294481	39447273	0.00746518
Histoplasma_capsulatum_G184AR	722787	30991520	0.023322089
Histoplasma_capsulatum_G186AR	719614	31111494	0.023130165
Histoplasma_capsulatum_H88	1347872	37996987	0.035473128
