class	variable	value
LTR/Solo	Histoplasma capsulatum HISSP-CM7256	0
MITE/DTA	Histoplasma capsulatum HISSP-CM7256	0
Satellite	Histoplasma capsulatum HISSP-CM7256	0
DNA/DTA	Histoplasma capsulatum Histo-485P20	0
DNA/DTC	Histoplasma capsulatum Histo-485P20	8.11e-4
DNA/DTH	Histoplasma capsulatum Histo-485P20	1.81e-4
DNA/DTM	Histoplasma capsulatum Histo-485P20	0.00154
DNA/DTT	Histoplasma capsulatum Histo-485P20	2.63e-5
DNA/Helitron	Histoplasma capsulatum Histo-485P20	0.00233
LINE/unknown	Histoplasma capsulatum Histo-485P20	0
LTR/Copia	Histoplasma capsulatum Histo-485P20	1.95e-4
LTR/Gypsy	Histoplasma capsulatum Histo-485P20	4.43e-4
LTR/unknown	Histoplasma capsulatum Histo-485P20	0.002021418
Low_complexity	Histoplasma capsulatum Histo-485P20	0.003236654
MITE/DTM	Histoplasma capsulatum Histo-485P20	4.84e-4
Simple_repeat	Histoplasma capsulatum Histo-485P20	0.012863921
TIR/Tc1_Mariner	Histoplasma capsulatum Histo-485P20	2.24e-4
Unknown	Histoplasma capsulatum Histo-485P20	0.032041564
MITE/DTC	Histoplasma capsulatum Histo-485P20	0
MITE/DTH	Histoplasma capsulatum Histo-485P20	0
MITE/DTT	Histoplasma capsulatum Histo-485P20	0
LTR/TRIM	Histoplasma capsulatum Histo-485P20	2.85e-6
TIR/PiggyBac	Histoplasma capsulatum Histo-485P20	1.14e-4
LTR/Copia_1	Histoplasma capsulatum Histo-485P20	0
LTR/Copia_2	Histoplasma capsulatum Histo-485P20	0
LTR/Copia_4	Histoplasma capsulatum Histo-485P20	0
LTR/Gypsy_1	Histoplasma capsulatum Histo-485P20	0
LTR/Gypsy_2	Histoplasma capsulatum Histo-485P20	0
LTR/Gypsy_3	Histoplasma capsulatum Histo-485P20	0
DNAauto/Helitron	Histoplasma capsulatum Histo-485P20	0
DNAnona/Helitron	Histoplasma capsulatum Histo-485P20	0
LTR/Solo	Histoplasma capsulatum Histo-485P20	0
MITE/DTA	Histoplasma capsulatum Histo-485P20	0
Satellite	Histoplasma capsulatum Histo-485P20	0
DNA/DTA	Histoplasma capsulatum JB_01752-Hc_01752	0
DNA/DTC	Histoplasma capsulatum JB_01752-Hc_01752	0
DNA/DTH	Histoplasma capsulatum JB_01752-Hc_01752	1.81e-4
DNA/DTM	Histoplasma capsulatum JB_01752-Hc_01752	0
DNA/DTT	Histoplasma capsulatum JB_01752-Hc_01752	0
DNA/Helitron	Histoplasma capsulatum JB_01752-Hc_01752	1.25e-4
LINE/unknown	Histoplasma capsulatum JB_01752-Hc_01752	0
LTR/Copia	Histoplasma capsulatum JB_01752-Hc_01752	4.62e-5
LTR/Gypsy	Histoplasma capsulatum JB_01752-Hc_01752	6.51e-4
LTR/unknown	Histoplasma capsulatum JB_01752-Hc_01752	0.015710713
Low_complexity	Histoplasma capsulatum JB_01752-Hc_01752	0.003067685
MITE/DTM	Histoplasma capsulatum JB_01752-Hc_01752	9.94e-5
Simple_repeat	Histoplasma capsulatum JB_01752-Hc_01752	0.012696795
TIR/Tc1_Mariner	Histoplasma capsulatum JB_01752-Hc_01752	0
Unknown	Histoplasma capsulatum JB_01752-Hc_01752	0.025869587
MITE/DTC	Histoplasma capsulatum JB_01752-Hc_01752	0
MITE/DTH	Histoplasma capsulatum JB_01752-Hc_01752	0
MITE/DTT	Histoplasma capsulatum JB_01752-Hc_01752	0
LTR/TRIM	Histoplasma capsulatum JB_01752-Hc_01752	0
TIR/PiggyBac	Histoplasma capsulatum JB_01752-Hc_01752	0
LTR/Copia_1	Histoplasma capsulatum JB_01752-Hc_01752	2.39e-5
LTR/Copia_2	Histoplasma capsulatum JB_01752-Hc_01752	4.34e-6
LTR/Copia_4	Histoplasma capsulatum JB_01752-Hc_01752	1.7e-6
LTR/Gypsy_1	Histoplasma capsulatum JB_01752-Hc_01752	2.04e-4
LTR/Gypsy_2	Histoplasma capsulatum JB_01752-Hc_01752	7.61e-5
LTR/Gypsy_3	Histoplasma capsulatum JB_01752-Hc_01752	2.98e-6
DNAauto/Helitron	Histoplasma capsulatum JB_01752-Hc_01752	0
DNAnona/Helitron	Histoplasma capsulatum JB_01752-Hc_01752	0
LTR/Solo	Histoplasma capsulatum JB_01752-Hc_01752	0
MITE/DTA	Histoplasma capsulatum JB_01752-Hc_01752	0
Satellite	Histoplasma capsulatum JB_01752-Hc_01752	0
DNA/DTA	Histoplasma capsulatum JB_021091-Hc_021091	0
DNA/DTC	Histoplasma capsulatum JB_021091-Hc_021091	4.43e-4
DNA/DTH	Histoplasma capsulatum JB_021091-Hc_021091	0
DNA/DTM	Histoplasma capsulatum JB_021091-Hc_021091	2.54e-4
DNA/DTT	Histoplasma capsulatum JB_021091-Hc_021091	0
DNA/Helitron	Histoplasma capsulatum JB_021091-Hc_021091	1.85e-4
LINE/unknown	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Copia	Histoplasma capsulatum JB_021091-Hc_021091	5.58e-5
LTR/Gypsy	Histoplasma capsulatum JB_021091-Hc_021091	6.32e-4
LTR/unknown	Histoplasma capsulatum JB_021091-Hc_021091	0.001752061
Low_complexity	Histoplasma capsulatum JB_021091-Hc_021091	0.002384553
MITE/DTM	Histoplasma capsulatum JB_021091-Hc_021091	0
Simple_repeat	Histoplasma capsulatum JB_021091-Hc_021091	0.007842518
TIR/Tc1_Mariner	Histoplasma capsulatum JB_021091-Hc_021091	0
Unknown	Histoplasma capsulatum JB_021091-Hc_021091	0.011526947
MITE/DTC	Histoplasma capsulatum JB_021091-Hc_021091	0
MITE/DTH	Histoplasma capsulatum JB_021091-Hc_021091	0
MITE/DTT	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/TRIM	Histoplasma capsulatum JB_021091-Hc_021091	0
TIR/PiggyBac	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Copia_1	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Copia_2	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Copia_4	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Gypsy_1	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Gypsy_2	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Gypsy_3	Histoplasma capsulatum JB_021091-Hc_021091	0
DNAauto/Helitron	Histoplasma capsulatum JB_021091-Hc_021091	0
DNAnona/Helitron	Histoplasma capsulatum JB_021091-Hc_021091	0
LTR/Solo	Histoplasma capsulatum JB_021091-Hc_021091	0
MITE/DTA	Histoplasma capsulatum JB_021091-Hc_021091	0
Satellite	Histoplasma capsulatum JB_021091-Hc_021091	0
DNA/DTA	Histoplasma capsulatum JB_031837-Hc_031837	0
DNA/DTC	Histoplasma capsulatum JB_031837-Hc_031837	0
DNA/DTH	Histoplasma capsulatum JB_031837-Hc_031837	0
DNA/DTM	Histoplasma capsulatum JB_031837-Hc_031837	0
DNA/DTT	Histoplasma capsulatum JB_031837-Hc_031837	0
DNA/Helitron	Histoplasma capsulatum JB_031837-Hc_031837	2.24e-4
LINE/unknown	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Copia	Histoplasma capsulatum JB_031837-Hc_031837	1.07e-4
LTR/Gypsy	Histoplasma capsulatum JB_031837-Hc_031837	5.5e-4
LTR/unknown	Histoplasma capsulatum JB_031837-Hc_031837	0.002618139
Low_complexity	Histoplasma capsulatum JB_031837-Hc_031837	0.002927503
MITE/DTM	Histoplasma capsulatum JB_031837-Hc_031837	1.16e-4
Simple_repeat	Histoplasma capsulatum JB_031837-Hc_031837	0.011382253
TIR/Tc1_Mariner	Histoplasma capsulatum JB_031837-Hc_031837	0
Unknown	Histoplasma capsulatum JB_031837-Hc_031837	0.018561306
MITE/DTC	Histoplasma capsulatum JB_031837-Hc_031837	0
MITE/DTH	Histoplasma capsulatum JB_031837-Hc_031837	0
MITE/DTT	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/TRIM	Histoplasma capsulatum JB_031837-Hc_031837	2.87e-6
TIR/PiggyBac	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Copia_1	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Copia_2	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Copia_4	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Gypsy_1	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Gypsy_2	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Gypsy_3	Histoplasma capsulatum JB_031837-Hc_031837	0
DNAauto/Helitron	Histoplasma capsulatum JB_031837-Hc_031837	0
DNAnona/Helitron	Histoplasma capsulatum JB_031837-Hc_031837	0
LTR/Solo	Histoplasma capsulatum JB_031837-Hc_031837	0
MITE/DTA	Histoplasma capsulatum JB_031837-Hc_031837	0
Satellite	Histoplasma capsulatum JB_031837-Hc_031837	0
DNA/DTA	Histoplasma capsulatum JB_042430-Hc_042430	0
DNA/DTC	Histoplasma capsulatum JB_042430-Hc_042430	1.71e-4
DNA/DTH	Histoplasma capsulatum JB_042430-Hc_042430	0
DNA/DTM	Histoplasma capsulatum JB_042430-Hc_042430	0
DNA/DTT	Histoplasma capsulatum JB_042430-Hc_042430	0
DNA/Helitron	Histoplasma capsulatum JB_042430-Hc_042430	1.72e-4
LINE/unknown	Histoplasma capsulatum JB_042430-Hc_042430	0.001497829
LTR/Copia	Histoplasma capsulatum JB_042430-Hc_042430	8.88e-5
LTR/Gypsy	Histoplasma capsulatum JB_042430-Hc_042430	9.03e-4
LTR/unknown	Histoplasma capsulatum JB_042430-Hc_042430	0.012946806
Low_complexity	Histoplasma capsulatum JB_042430-Hc_042430	0.003271179
MITE/DTM	Histoplasma capsulatum JB_042430-Hc_042430	4.43e-4
Simple_repeat	Histoplasma capsulatum JB_042430-Hc_042430	0.012720066
TIR/Tc1_Mariner	Histoplasma capsulatum JB_042430-Hc_042430	0
Unknown	Histoplasma capsulatum JB_042430-Hc_042430	0.01499785
MITE/DTC	Histoplasma capsulatum JB_042430-Hc_042430	0
MITE/DTH	Histoplasma capsulatum JB_042430-Hc_042430	0
MITE/DTT	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/TRIM	Histoplasma capsulatum JB_042430-Hc_042430	2.96e-6
TIR/PiggyBac	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/Copia_1	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/Copia_2	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/Copia_4	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/Gypsy_1	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/Gypsy_2	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/Gypsy_3	Histoplasma capsulatum JB_042430-Hc_042430	0
DNAauto/Helitron	Histoplasma capsulatum JB_042430-Hc_042430	0
DNAnona/Helitron	Histoplasma capsulatum JB_042430-Hc_042430	0
LTR/Solo	Histoplasma capsulatum JB_042430-Hc_042430	0
MITE/DTA	Histoplasma capsulatum JB_042430-Hc_042430	0
Satellite	Histoplasma capsulatum JB_042430-Hc_042430	0
DNA/DTA	Histoplasma capsulatum JB_062632-Hc_062632	0
DNA/DTC	Histoplasma capsulatum JB_062632-Hc_062632	0
DNA/DTH	Histoplasma capsulatum JB_062632-Hc_062632	0
DNA/DTM	Histoplasma capsulatum JB_062632-Hc_062632	0
DNA/DTT	Histoplasma capsulatum JB_062632-Hc_062632	0
DNA/Helitron	Histoplasma capsulatum JB_062632-Hc_062632	0
LINE/unknown	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/Copia	Histoplasma capsulatum JB_062632-Hc_062632	5.75e-5
LTR/Gypsy	Histoplasma capsulatum JB_062632-Hc_062632	4.71e-5
LTR/unknown	Histoplasma capsulatum JB_062632-Hc_062632	0.002646169
Low_complexity	Histoplasma capsulatum JB_062632-Hc_062632	0.003302181
MITE/DTM	Histoplasma capsulatum JB_062632-Hc_062632	0
Simple_repeat	Histoplasma capsulatum JB_062632-Hc_062632	0.013193076
TIR/Tc1_Mariner	Histoplasma capsulatum JB_062632-Hc_062632	0
Unknown	Histoplasma capsulatum JB_062632-Hc_062632	0.018507653
MITE/DTC	Histoplasma capsulatum JB_062632-Hc_062632	0
MITE/DTH	Histoplasma capsulatum JB_062632-Hc_062632	0
MITE/DTT	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/TRIM	Histoplasma capsulatum JB_062632-Hc_062632	0
TIR/PiggyBac	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/Copia_1	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/Copia_2	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/Copia_4	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/Gypsy_1	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/Gypsy_2	Histoplasma capsulatum JB_062632-Hc_062632	0
LTR/Gypsy_3	Histoplasma capsulatum JB_062632-Hc_062632	0
DNAauto/Helitron	Histoplasma capsulatum JB_062632-Hc_062632	9.64e-6
DNAnona/Helitron	Histoplasma capsulatum JB_062632-Hc_062632	2.54e-5
LTR/Solo	Histoplasma capsulatum JB_062632-Hc_062632	0
MITE/DTA	Histoplasma capsulatum JB_062632-Hc_062632	0
Satellite	Histoplasma capsulatum JB_062632-Hc_062632	0
DNA/DTA	Histoplasma capsulatum JB_062775-Hc_062775	0
DNA/DTC	Histoplasma capsulatum JB_062775-Hc_062775	0
DNA/DTH	Histoplasma capsulatum JB_062775-Hc_062775	0
DNA/DTM	Histoplasma capsulatum JB_062775-Hc_062775	6.94e-5
DNA/DTT	Histoplasma capsulatum JB_062775-Hc_062775	0
DNA/Helitron	Histoplasma capsulatum JB_062775-Hc_062775	1.89e-4
LINE/unknown	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Copia	Histoplasma capsulatum JB_062775-Hc_062775	6.1e-5
LTR/Gypsy	Histoplasma capsulatum JB_062775-Hc_062775	2.57e-4
LTR/unknown	Histoplasma capsulatum JB_062775-Hc_062775	0.002717219
Low_complexity	Histoplasma capsulatum JB_062775-Hc_062775	0.003140275
MITE/DTM	Histoplasma capsulatum JB_062775-Hc_062775	0
Simple_repeat	Histoplasma capsulatum JB_062775-Hc_062775	0.012402918
TIR/Tc1_Mariner	Histoplasma capsulatum JB_062775-Hc_062775	0
Unknown	Histoplasma capsulatum JB_062775-Hc_062775	0.008412095
MITE/DTC	Histoplasma capsulatum JB_062775-Hc_062775	0
MITE/DTH	Histoplasma capsulatum JB_062775-Hc_062775	0
MITE/DTT	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/TRIM	Histoplasma capsulatum JB_062775-Hc_062775	3.16e-6
TIR/PiggyBac	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Copia_1	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Copia_2	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Copia_4	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Gypsy_1	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Gypsy_2	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Gypsy_3	Histoplasma capsulatum JB_062775-Hc_062775	0
DNAauto/Helitron	Histoplasma capsulatum JB_062775-Hc_062775	0
DNAnona/Helitron	Histoplasma capsulatum JB_062775-Hc_062775	0
LTR/Solo	Histoplasma capsulatum JB_062775-Hc_062775	0
MITE/DTA	Histoplasma capsulatum JB_062775-Hc_062775	0
Satellite	Histoplasma capsulatum JB_062775-Hc_062775	0
DNA/DTA	Histoplasma capsulatum JB_073129-Hc_073129	5.3e-4
DNA/DTC	Histoplasma capsulatum JB_073129-Hc_073129	7.61e-5
DNA/DTH	Histoplasma capsulatum JB_073129-Hc_073129	0
DNA/DTM	Histoplasma capsulatum JB_073129-Hc_073129	2.73e-4
DNA/DTT	Histoplasma capsulatum JB_073129-Hc_073129	0
DNA/Helitron	Histoplasma capsulatum JB_073129-Hc_073129	0
LINE/unknown	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/Copia	Histoplasma capsulatum JB_073129-Hc_073129	5.69e-5
LTR/Gypsy	Histoplasma capsulatum JB_073129-Hc_073129	0.0012
LTR/unknown	Histoplasma capsulatum JB_073129-Hc_073129	0.017758932
Low_complexity	Histoplasma capsulatum JB_073129-Hc_073129	0.002615171
MITE/DTM	Histoplasma capsulatum JB_073129-Hc_073129	0
Simple_repeat	Histoplasma capsulatum JB_073129-Hc_073129	0.008784044
TIR/Tc1_Mariner	Histoplasma capsulatum JB_073129-Hc_073129	0.001334605
Unknown	Histoplasma capsulatum JB_073129-Hc_073129	0.024925056
MITE/DTC	Histoplasma capsulatum JB_073129-Hc_073129	0
MITE/DTH	Histoplasma capsulatum JB_073129-Hc_073129	0
MITE/DTT	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/TRIM	Histoplasma capsulatum JB_073129-Hc_073129	0
TIR/PiggyBac	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/Copia_1	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/Copia_2	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/Copia_4	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/Gypsy_1	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/Gypsy_2	Histoplasma capsulatum JB_073129-Hc_073129	0
LTR/Gypsy_3	Histoplasma capsulatum JB_073129-Hc_073129	0
DNAauto/Helitron	Histoplasma capsulatum JB_073129-Hc_073129	1.98e-6
DNAnona/Helitron	Histoplasma capsulatum JB_073129-Hc_073129	2.35e-5
LTR/Solo	Histoplasma capsulatum JB_073129-Hc_073129	0
MITE/DTA	Histoplasma capsulatum JB_073129-Hc_073129	0
Satellite	Histoplasma capsulatum JB_073129-Hc_073129	0
DNA/DTA	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
DNA/DTC	Histoplasma capsulatum JB_083285_2-Hc_083285_2	1.67e-4
DNA/DTH	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
DNA/DTM	Histoplasma capsulatum JB_083285_2-Hc_083285_2	1.58e-4
DNA/DTT	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
DNA/Helitron	Histoplasma capsulatum JB_083285_2-Hc_083285_2	1.07e-4
LINE/unknown	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Copia	Histoplasma capsulatum JB_083285_2-Hc_083285_2	1e-4
LTR/Gypsy	Histoplasma capsulatum JB_083285_2-Hc_083285_2	5.18e-4
LTR/unknown	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0.017087292
Low_complexity	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0.0033011
MITE/DTM	Histoplasma capsulatum JB_083285_2-Hc_083285_2	2.45e-4
Simple_repeat	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0.012744222
TIR/Tc1_Mariner	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
Unknown	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0.02757941
MITE/DTC	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
MITE/DTH	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
MITE/DTT	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/TRIM	Histoplasma capsulatum JB_083285_2-Hc_083285_2	2.89e-6
TIR/PiggyBac	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Copia_1	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Copia_2	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Copia_4	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Gypsy_1	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Gypsy_2	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Gypsy_3	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
DNAauto/Helitron	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
DNAnona/Helitron	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
LTR/Solo	Histoplasma capsulatum JB_083285_2-Hc_083285_2	1.94e-6
MITE/DTA	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
Satellite	Histoplasma capsulatum JB_083285_2-Hc_083285_2	0
DNA/DTA	Histoplasma capsulatum SECH_100-G186A	0
DNA/DTC	Histoplasma capsulatum SECH_100-G186A	1.05e-4
DNA/DTH	Histoplasma capsulatum SECH_100-G186A	0.00301
DNA/DTM	Histoplasma capsulatum SECH_100-G186A	0.00368
DNA/DTT	Histoplasma capsulatum SECH_100-G186A	0
DNA/Helitron	Histoplasma capsulatum SECH_100-G186A	0.00136
LINE/unknown	Histoplasma capsulatum SECH_100-G186A	0.003325584
LTR/Copia	Histoplasma capsulatum SECH_100-G186A	0
LTR/Gypsy	Histoplasma capsulatum SECH_100-G186A	0.052934454
LTR/unknown	Histoplasma capsulatum SECH_100-G186A	0.036984566
Low_complexity	Histoplasma capsulatum SECH_100-G186A	0.00380592
MITE/DTM	Histoplasma capsulatum SECH_100-G186A	2.76e-5
Simple_repeat	Histoplasma capsulatum SECH_100-G186A	0.014729444
TIR/Tc1_Mariner	Histoplasma capsulatum SECH_100-G186A	4.77e-4
Unknown	Histoplasma capsulatum SECH_100-G186A	0.051920609
MITE/DTC	Histoplasma capsulatum SECH_100-G186A	1.64e-4
MITE/DTH	Histoplasma capsulatum SECH_100-G186A	0
MITE/DTT	Histoplasma capsulatum SECH_100-G186A	0
LTR/TRIM	Histoplasma capsulatum SECH_100-G186A	0
TIR/PiggyBac	Histoplasma capsulatum SECH_100-G186A	0
LTR/Copia_1	Histoplasma capsulatum SECH_100-G186A	0
LTR/Copia_2	Histoplasma capsulatum SECH_100-G186A	0
LTR/Copia_4	Histoplasma capsulatum SECH_100-G186A	0
LTR/Gypsy_1	Histoplasma capsulatum SECH_100-G186A	0
LTR/Gypsy_2	Histoplasma capsulatum SECH_100-G186A	0
LTR/Gypsy_3	Histoplasma capsulatum SECH_100-G186A	0
DNAauto/Helitron	Histoplasma capsulatum SECH_100-G186A	0
DNAnona/Helitron	Histoplasma capsulatum SECH_100-G186A	0
LTR/Solo	Histoplasma capsulatum SECH_100-G186A	0
MITE/DTA	Histoplasma capsulatum SECH_100-G186A	0
Satellite	Histoplasma capsulatum SECH_100-G186A	0
DNA/DTA	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
DNA/DTC	Histoplasma capsulatum senso_stricto SECH_101_G184AR	3.21e-4
DNA/DTH	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
DNA/DTM	Histoplasma capsulatum senso_stricto SECH_101_G184AR	3.63e-4
DNA/DTT	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
DNA/Helitron	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0.0042
LINE/unknown	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0.002625085
LTR/Copia	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Gypsy	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0.034588082
LTR/unknown	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0.028829738
Low_complexity	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0.003621667
MITE/DTM	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
Simple_repeat	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0.014555992
TIR/Tc1_Mariner	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
Unknown	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0.037069611
MITE/DTC	Histoplasma capsulatum senso_stricto SECH_101_G184AR	9.69e-5
MITE/DTH	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
MITE/DTT	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
