class	Histoplasma ohiense HCCI_17	Histoplasma ohiense HCCI_6	Histoplasma ohiense HCG217B	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma ohiensis Hc1986	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum HISSP-CM7256-xx-CL-SEN-xxxx-036-BB	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_101-Nam2_G184A	Histoplasma capsulatum SECH_107-mis_Hc_duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma capsulatum HCH143	Histoplasma capsulatum HCG186A	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGGRE2022	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HHISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum CB063	Histoplasma capsulatum CB066	Histoplasma capsulatum CB180	Histoplasma capsulatum CB052-2	Histoplasma capsulatum CB053-2	Histoplasma capsulatum CB055-2	Histoplasma capsulatum CB062-2	Histoplasma capsulatum CB063-2	Histoplasma capsulatum CB064-2	Histoplasma capsulatum CB065-2	Histoplasma capsulatum CB066-2	Histoplasma capsulatum CB168-2	Histoplasma capsulatum CB174-2	Histoplasma capsulatum CB180-2	Histoplasma capsulatum CB186-2	Histoplasma capsulatum CB192-2	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S11	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S14	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S16	Histoplasma mississippiense II SECH_102Nam2_505	Histoplasma mississippiense II SECH_81-Nam1_WU2	Histoplasma mississippiense II SECH_83-Nam1_CI_7	Histoplasma mississippiense II SECH_84-Nam1_CI_19	Histoplasma mississippiense II SECH_85-Nam1_CI_22	Histoplasma mississippiense II SECH_86-Nam1_CI_24	Histoplasma mississippiense II SECH_87-Nam1_CI_42	Histoplasma mississippiense II SECH_88-Nam1_CI_43	Histoplasma mississippiense II SECH_89-Nam1_UCLA-531	Histoplasma mississippiense II SECH_90-Nam1_DOWNS	Histoplasma mississippiense II HCWU24	Histoplasma mississippiense II HCCI_43	Histoplasma mississippiense II HCCI_19	Histoplasma suramericanum SECH_103-Nam2_3_11G	Histoplasma suramericanum SECH_104-Nam2_27_14	Histoplasma suramericanum SECH_105-Nam2_21_14	Histoplasma suramericanum HC27_14	Histoplasma suramericanum HC21_14	Histoplasma capsulatum CB053	Histoplasma capsulatum CB062	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_87	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15
Low_complexity	0.003271185331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002426633713	0.001812565899	0.003236653543	0.003067684694	0.00238455264	0.002927502844	0.003271179107	0.003302181034	0.00314027469	0.002615171004	0.003301100031	0.003621667173	0.002976704817	0.003875366418	0.004009037749	0.004230400744	0.004037458868	0.003461243019	9.65E-04	0.00110396277	0.003156032688	0.003664060817	0.003597122302	9.03E-04	0.002106377762	0.003419612648	0.003343320731	0.001051041533	0.003321006113	0.00106135002	0.003088727074	0.003132122469	0.003513047241	0.003465782574	0.003524069588	0.003076329708	0.002756493557	0.003217427478	0.00302821011	0.004089601847	0.003289040569	0.003261046254	0.003311205687	0.003275644445	0.00328950399	0.00332957454	0.003300745724	0.003246312539	0.003178635285	0.003182771887	0.004665957709	0.003741511355	0.00376123175	0.003427376099	0.003370501257	0.003284404717	0.003327196592	0.003361715651	0.003267488054	0.003360512597	0.003358941917	0.003283218012	0.003374289627	0.00326036458	0.003307441142	0.003305066497	0.00297235987	0.003580643341	0.003434528491	0.003432645945	0.003542112995	0.003824088727	0.003456022578	0.003652877099	0.003726866871	0.003520411828	0.003016643747	0.003510160088	0.003485492399	0.003198147435	0.003530396255	0.003044669075	0.003913633857	0.003352630916	0.003611098966	0.003228592168	0.003314552928	0.00331693052	0.003290447158	0.003336758826	0.002987461702	0.003151678259	0.002552669391	0.001248559791	0.003238917413	0.002878349029	0.003311608839	0.004277778634
MITE/DTM	2.00E-04	1.67E-04	NA	1.89E-05	8.79E-06	8.84E-06	1.11E-05	1.86E-05	3.42E-04	1.01E-05	9.31E-06	NA	2.85E-04	NA	1.14E-04	7.41E-04	4.84E-04	9.94E-05	NA	1.16E-04	4.43E-04	NA	NA	NA	2.45E-04	NA	1.21E-04	4.90E-05	NA	5.11E-04	1.65E-05	1.10E-05	6.14E-05	5.32E-05	4.20E-05	3.06E-04	8.75E-05	9.06E-06	1.69E-04	3.91E-04	NA	2.15E-05	NA	5.32E-05	9.17E-05	1.39E-04	2.01E-04	2.74E-05	1.72E-04	0.003340655521	NA	1.85E-04	1.69E-04	2.99E-04	1.50E-05	8.72E-05	1.49E-05	7.88E-05	5.24E-04	7.83E-05	7.83E-05	2.51E-05	3.31E-05	1.73E-04	0.002490601905	3.06E-04	1.71E-04	1.22E-04	2.14E-05	3.31E-05	1.73E-04	1.16E-04	1.57E-04	2.93E-05	4.67E-05	1.22E-04	1.45E-04	1.48E-05	4.74E-04	3.12E-04	1.05E-04	1.66E-05	2.67E-05	1.26E-04	2.16E-05	1.41E-04	1.27E-04	1.34E-04	1.37E-04	2.76E-05	2.37E-05	3.90E-05	5.26E-05	1.19E-04	4.06E-04	0.002579182003	2.23E-05	1.99E-03	1.15E-05	9.16E-06	7.80E-05	1.50E-05	8.53E-05	7.82E-05	3.19E-05	1.07E-04	6.11E-04	7.46E-04	2.78E-04	9.75E-05	2.06E-05	2.66E-05
Simple_repeat	0.01343281734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009915080063	0.007206281863	0.01286392062	0.01269679546	0.007842517859	0.0113822532	0.01272006568	0.01319307636	0.01240291776	0.008784043563	0.01274422239	0.01455599237	0.01193687464	0.01566144081	0.01614269283	0.0131601985	0.0157088025	0.01440778979	0.005188697909	0.005387631043	0.01301484406	0.01385985213	0.01464925121	0.004974347482	0.01307232587	0.01433080719	0.01331220586	0.00537768804	0.01358770717	0.00534413732	0.01402348055	0.01279902462	0.01518023244	0.01374829689	0.01355199616	0.01234912635	0.009897955205	0.01394741273	0.0121985237	0.01579486428	0.01292661502	0.01283220389	0.01288463454	0.01290493949	0.01291766837	0.01289234888	0.01313923474	0.01368763685	0.01348891171	0.0134857197	0.0164147599	0.01434548351	0.01422403539	0.01397895953	0.01382166551	0.01352115794	0.0135757435	0.01395041441	0.01395794302	0.01385458964	0.01403056391	0.01316635873	0.01432620753	0.01258450536	0.01276458064	0.01279202622	0.01359363072	0.01521625485	0.01492016128	0.01473304458	0.01534927152	0.01641313161	0.01483337796	0.01567828492	0.01599585178	0.01539783676	0.01319441879	0.01454849905	0.01389472511	0.01290896294	0.01400161529	0.01219906988	0.01463971372	0.01265461673	0.01402842576	0.01373949189	0.0127291744	0.01283148378	0.01299876805	0.01277239928	0.01097037628	0.01181999982	0.009398199994	0.005877168153	0.01112373739	0.01032605365	0.01008881603	0.01303225222
TIR/Tc1_Mariner	7.19E-04	NA	2.66E-04	NA	NA	2.52E-04	4.62E-04	NA	NA	6.27E-04	NA	NA	4.34E-04	3.80E-04	NA	0.001342379412	2.24E-04	NA	NA	NA	NA	NA	NA	0.001334604956	NA	NA	4.90E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.65E-04	NA	6.81E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.23E-04	NA	NA	4.07E-04	2.88E-04	8.31E-04	1.73E-04	2.02E-04	7.56E-04	8.84E-04	0.001034248298	1.40E-04	3.38E-04	NA	NA	NA	2.47E-04	3.43E-04	1.32E-04	1.54E-03	1.51E-04	3.06E-04	2.44E-04	7.18E-04	3.02E-04	3.78E-04	2.62E-04	NA	5.50E-04	NA	NA	3.09E-04	NA	NA	NA	NA	NA	NA	1.74E-04	1.49E-04	0.00122913177	1.77E-03	NA	4.15E-04	NA	3.47E-04	NA	7.21E-04	2.54E-04	4.26E-04	1.15E-04	3.68E-04	2.83E-04	NA	4.76E-04	NA	4.47E-04	NA	5.27E-04	NA	NA
Unknown	0.02665561873	0.02005869223	0.03372762456	0.02272186108	0.02254773113	0.04662957071	0.03314489177	0.03092689243	0.03147337026	0.02256702415	0.03010443674	0.03401119589	0.01955560218	0.03620602219	0.05753176558	0.07410464141	0.03204156364	0.02586958675	0.01152694659	0.01856130594	0.01499784967	0.01850765344	0.008412095374	0.02492505634	0.02757940985	0.03706961135	0.05351284369	0.03270280295	0.06221130135	0.04805316278	0.009159152986	0.07027338541	0.02303719215	0.01251447481	0.04968532346	0.07219694122	0.06105915703	0.01633251916	0.01371122145	0.0567270633	0.04454823554	0.02012926434	0.03961724284	0.01162738203	0.07403813844	0.06210063203	0.04774707012	0.07580812165	0.05646712485	0.06571894349	0.05674206717	0.0923410165	0.03460031674	0.05757371669	0.03248316938	0.03236794354	0.02984947799	0.03310795326	0.0300647696	0.0321945328	0.03340571676	0.0539135314	0.05098434149	0.05462598073	0.03180603597	0.05632225142	0.02844668698	0.04941919961	0.04758178173	0.04337934138	0.05043601288	0.04933232495	0.04182046381	0.04742192468	0.04549366341	0.04541611873	0.04409011323	0.03206328412	0.0312993201	0.03027937165	0.01552392925	0.02936510798	0.02619696014	0.02711107914	0.02926044128	0.03020269896	0.02729570807	0.02885046746	0.02943483957	0.03011562845	0.02580610641	0.05201073661	0.0439342571	0.04548575321	0.05793322453	0.09791896332	0.02654348893	0.06094119099	0.03126716725	0.05016532654	0.03201391902	0.03178507601	0.03222726099	0.03131778601	0.04856580662	0.03829281279	0.09040172977	0.06307665678	0.02692790679	0.03220696161	0.04444948654	0.05741773049
MITE/DTC	NA	NA	1.23E-05	1.96E-04	NA	1.39E-05	NA	1.72E-04	NA	NA	1.59E-04	1.74E-05	1.41E-05	2.66E-04	4.46E-04	0.02157230522	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.69E-05	1.34E-04	NA	NA	3.81E-04	3.95E-05	2.38E-04	1.96E-05	NA	NA	3.69E-04	8.26E-04	3.94E-05	2.47E-05	NA	NA	2.05E-05	3.95E-05	1.90E-05	NA	NA	1.11E-04	1.62E-05	3.72E-04	1.68E-05	4.18E-05	NA	1.40E-04	3.86E-04	NA	NA	NA	NA	NA	NA	NA	NA	2.93E-05	1.54E-05	NA	1.18E-04	1.09E-04	1.57E-05	1.57E-05	1.57E-05	1.54E-05	1.58E-05	1.57E-05	1.58E-05	1.58E-05	1.60E-05	1.57E-05	NA	NA	NA	1.64E-05	NA	1.75E-05	1.70E-05	1.95E-05	1.89E-05	1.71E-05	1.81E-05	1.85E-05	1.87E-05	1.61E-05	1.60E-05	2.82E-04	NA	NA	2.04E-05	7.93E-06	NA	1.05E-04	1.39E-05	NA	NA	NA	NA	1.04E-04	1.60E-04	6.55E-05	6.21E-05	1.01E-04	NA	1.09E-04	1.40E-04
MITE/DTH	NA	NA	7.41E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.35E-05	NA	NA	NA	NA	NA	NA	NA	NA	2.19E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.61E-06	NA	NA	NA	NA	NA	1.99E-05	NA	7.84E-06	7.84E-06	NA	NA	7.82E-06	7.85E-06	NA	NA	2.80E-04	NA	NA	NA	1.47E-04	NA	NA	4.20E-04	1.43E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25E-04	NA	NA	NA	NA	NA	NA	1.36E-04	7.83E-06	NA	7.80E-06	7.84E-06	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001070329266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.81E-06	NA	NA	2.28E-05	NA	1.31E-05	NA	NA	NA	NA	1.70E-05	NA	NA	NA	2.20E-05	NA	NA	NA	1.86E-05	NA	NA	NA	NA	1.83E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86E-05	2.24E-05	NA	NA	NA	NA	NA	2.17E-05	2.09E-05	2.58E-05	4.17E-06	2.20E-05	9.84E-06	7.00E-06	9.05E-06
LTR/TRIM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.85E-06	NA	NA	2.87E-06	2.96E-06	NA	3.16E-06	NA	2.89E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81E-06	2.80E-06	NA	2.80E-06	2.82E-06	2.79E-06	2.80E-06	2.74E-06	2.71E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79E-06	2.82E-06	2.82E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79E-06	NA	NA	2.80E-06	NA	NA	NA	NA	NA	NA	NA	NA
TIR/PiggyBac	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.63E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0032376977	NA	1.63E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33E-04	NA	4.82E-04	4.36E-04	4.61E-04	4.70E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.27E-04	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.09E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.34E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.70E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.52E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.61E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.98E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.62E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAauto/Helitron	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.64E-06	NA	1.98E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAnona/Helitron	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.54E-05	NA	2.35E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Solo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004495078397	NA	NA	NA	NA	NA	5.80E-05	9.20E-05	NA	6.37E-05	NA	NA	NA	6.07E-05	NA	NA	NA	7.90E-05	NA	NA	NA	NA	6.37E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.98E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Satellite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.70E-05	NA	NA
