class	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum HISSP-CM7256	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_100-G186A	Histoplasma capsulatum senso_stricto SECH_101_G184AR	Histoplasma mississippiense SECH_102-505	Histoplasma capsulatum SECH_103-3_11G	Histoplasma capsulatum SECH_104-27_14	Histoplasma capsulatumSECH_105-21_14	Histoplasma capsulatum SECH_107-duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma mississippiense SECH_81-WU24	Histoplasma mississippiense SECH_83-CI_7	Histoplasma mississippiense SECH_84-CI_19	Histoplasma mississippiense SECH_85-CI_22	Histoplasma mississippiense SECH_86-CI_24	Histoplasma mississippiense SECH_87-CI_42	Histoplasma mississippiense SECH_88-CI_43	Histoplasma mississippiense SECH_89-UCLA-531	Histoplasma mississippiense SECH_90-DOWNS	Histoplasma ohiense SECH_82-CI_4	Histoplasma ohiense SECH_91-G217B	Histoplasma ohiense SECH_92-G222B	Histoplasma ohiense SECH_93-CI_6	Histoplasma ohiense SECH_94-CI_9	Histoplasma ohiense SECH_95-CI_10	Histoplasma ohiense SECH_96-CI_17	Histoplasma ohiense SECH_97-CI_18	Histoplasma ohiense SECH_98-CI_30	Histoplasma ohiense SECH_99-CI_35	Histoplasma capsulatum HCH143	Histoplasma capsulatum NACVFR_Histo_HC1070058	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15	Histoplasma capsulatum CB053	Histoplasma capsulatum CB055	Histoplasma capsulatum CB062	Histoplasma capsulatum CB063	Histoplasma capsulatum CB064	Histoplasma capsulatum CB065	Histoplasma capsulatum CB066	Histoplasma capsulatum CB168	Histoplasma capsulatum CB174	Histoplasma capsulatum CB180	Histoplasma capsulatum CB186	Histoplasma capsulatum CB192	Histoplasma capsulatum WGS_S11	Histoplasma capsulatum WGS_S14	Histoplasma capsulatum WGS_S16	Blastomyces parvus UAMH130
Low_complexity	0.002426634	0.001812566	0.003236654	0.003067685	0.002384553	0.002927503	0.003271179	0.003302181	0.003140275	0.002615171	0.0033011	0.00380592	0.003621667	0.00297236	0.003198147	0.003530396	0.003044669	0.002976705	0.003875366	4.01E-03	0.003580643	0.003434528	0.003432646	0.003542113	0.003824089	0.003456023	0.003652877	0.003726867	0.003520412	0.003092225	0.003215786	0.003164066	0.003325586	0.003406266	0.003281771	0.003302943	0.003146308	0.003351734	0.003107059	0.004230401	0.003461243	9.65E-04	0.001103963	0.003156033	0.003664061	0.003597122	9.03E-04	0.002106378	0.003419613	0.001051042	0.003321006	0.00106135	0.003088727	0.003132122	0.003513047	0.003465783	0.00352407	0.00307633	0.002756494	0.003217427	0.00302821	0.004089602	0.003289041	0.003261046	0.003311206	0.003275644	0.003289504	0.003329575	0.003300746	0.003314553	0.003316931	0.003290447	0.003336759	0.002987462	0.003151678	0.002552669	0.003238917	0.002878349	0.003311609	0.003197397	0.003741511	0.003761232	0.003427376	0.003370501	0.003284405	0.003327197	0.003361716	0.003267488	0.003360513	0.003358942	0.003283218	0.00337429	0.003260365	0.003307441	0.003305066	0.003511761
MITE/DTM	1.14E-04	7.41E-04	4.84E-04	9.94E-05	NA	1.16E-04	4.43E-04	NA	NA	NA	2.45E-04	2.76E-05	NA	2.67E-05	2.58E-03	2.23E-05	1.99E-03	1.21E-04	4.90E-05	NA	1.26E-04	2.16E-05	1.41E-04	1.27E-04	1.34E-04	NA	1.37E-04	2.37E-05	3.90E-05	1.89E-05	8.79E-06	8.84E-06	1.11E-05	1.86E-05	3.42E-04	1.01E-05	9.31E-06	NA	2.85E-04	5.11E-04	1.10E-05	6.14E-05	5.32E-05	4.20E-05	3.06E-04	8.75E-05	9.06E-06	1.69E-04	3.91E-04	2.15E-05	NA	5.32E-05	9.17E-05	1.39E-04	2.01E-04	2.74E-05	1.72E-04	0.003340656	NA	1.85E-04	1.69E-04	2.99E-04	1.50E-05	8.72E-05	1.49E-05	7.88E-05	5.24E-04	7.83E-05	7.83E-05	7.80E-05	1.50E-05	8.53E-05	7.82E-05	3.19E-05	1.07E-04	6.11E-04	2.78E-04	9.75E-05	2.06E-05	9.19E-06	3.06E-04	1.71E-04	1.22E-04	2.14E-05	3.31E-05	1.73E-04	1.16E-04	1.57E-04	2.93E-05	4.67E-05	1.22E-04	1.45E-04	1.48E-05	4.74E-04	3.12E-04	3.09E-06
Simple_repeat	0.00991508	0.007206282	0.012863921	0.012696795	0.007842518	0.011382253	0.012720066	0.013193076	0.012402918	0.008784044	0.012744222	0.014729444	0.014555992	0.013593631	0.012908963	0.014001615	0.01219907	0.011936875	0.015661441	0.016142693	0.015216255	0.014920161	0.014733045	0.015349272	0.016413132	0.014833378	0.015678285	0.015995852	0.015397837	0.01346999	0.013868445	0.013651415	0.015907853	0.016162947	0.015099049	0.014862179	0.01463086	0.016042963	0.014276296	0.013160198	0.01440779	0.005188698	0.005387631	0.013014844	0.013859852	0.014649251	0.004974347	0.013072326	0.014330807	0.005377688	0.013587707	0.005344137	0.014023481	0.012799025	0.015180232	0.013748297	0.013551996	0.012349126	0.009897955	0.013947413	0.012198524	0.015794864	0.012926615	0.012832204	0.012884635	0.012904939	0.012917668	0.012892349	0.013139235	0.012729174	0.012831484	0.012998768	0.012772399	0.010970376	0.01182	0.0093982	0.011123737	0.010326054	0.010088816	0.013820673	0.014345484	0.014224035	0.01397896	0.013821666	0.013521158	0.013575744	0.013950414	0.013957943	0.01385459	0.014030564	0.013166359	0.014326208	0.012584505	0.012764581	0.012792026	0.014632126
TIR/Tc1_Mariner	NA	1.34E-03	2.24E-04	NA	NA	NA	NA	NA	NA	0.001334605	NA	4.77E-04	NA	NA	NA	4.15E-04	NA	4.90E-04	NA	NA	NA	3.09E-04	NA	NA	NA	NA	NA	NA	1.74E-04	NA	NA	2.52E-04	4.62E-04	NA	NA	6.27E-04	NA	NA	4.34E-04	NA	NA	NA	NA	NA	NA	NA	5.65E-04	NA	6.81E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.23E-04	NA	NA	4.07E-04	2.88E-04	8.31E-04	1.73E-04	2.02E-04	7.56E-04	8.84E-04	4.26E-04	1.15E-04	3.68E-04	2.83E-04	NA	4.76E-04	NA	NA	5.27E-04	NA	NA	NA	NA	2.47E-04	3.43E-04	1.32E-04	0.001537595	1.51E-04	3.06E-04	2.44E-04	7.18E-04	3.02E-04	3.78E-04	2.62E-04	NA	5.50E-04	NA
Unknown	0.057531766	0.074104641	0.032041564	0.025869587	0.011526947	0.018561306	0.01499785	0.018507653	0.008412095	0.024925056	0.02757941	0.051920609	0.037069611	0.015523929	0.045485753	0.057933225	0.097918963	0.053512844	0.032702803	0.062211301	0.029365108	0.02619696	0.027111079	0.029260441	0.030202699	0.027295708	0.028850467	0.02943484	0.030115628	0.022721861	0.022547731	0.046629571	0.033144892	0.030926892	0.03147337	0.022567024	0.030104437	0.034011196	0.019555602	0.048053163	0.070273385	0.023037192	0.012514475	0.049685323	0.072196941	0.061059157	0.016332519	0.013711221	0.056727063	0.020129264	0.039617243	0.011627382	0.074038138	0.062100632	0.04774707	0.075808122	0.056467125	0.065718943	0.056742067	0.092341016	0.034600317	0.057573717	0.032483169	0.032367944	0.029849478	0.033107953	0.03006477	0.032194533	0.033405717	0.032013919	0.031785076	0.032227261	0.031317786	0.048565807	0.038292813	0.09040173	0.026927907	0.032206962	0.044449487	0.025320432	0.056322251	0.028446687	0.0494192	0.047581782	0.043379341	0.050436013	0.049332325	0.041820464	0.047421925	0.045493663	0.045416119	0.044090113	0.032063284	0.03129932	0.030279372	0.00281262
MITE/DTC	4.46E-04	0.021572305	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64E-04	9.69E-05	1.64E-05	NA	NA	2.04E-05	1.34E-04	NA	NA	NA	1.75E-05	1.70E-05	1.95E-05	1.89E-05	1.71E-05	1.81E-05	1.85E-05	1.87E-05	1.96E-04	NA	1.39E-05	NA	1.72E-04	NA	NA	1.59E-04	1.74E-05	1.41E-05	3.81E-04	2.38E-04	1.96E-05	NA	NA	3.69E-04	8.26E-04	3.94E-05	2.47E-05	NA	2.05E-05	3.95E-05	1.90E-05	NA	NA	1.11E-04	1.62E-05	3.72E-04	1.68E-05	4.18E-05	NA	1.40E-04	3.86E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04E-04	1.60E-04	6.55E-05	1.01E-04	NA	1.09E-04	2.27E-04	1.18E-04	1.09E-04	1.57E-05	1.57E-05	1.57E-05	1.54E-05	1.58E-05	1.57E-05	1.58E-05	1.58E-05	1.60E-05	1.57E-05	NA	NA	NA	2.21E-05
MITE/DTH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.35E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.19E-05	NA	NA	NA	NA	NA	NA	NA	NA	5.61E-06	NA	NA	NA	NA	NA	1.99E-05	NA	7.84E-06	7.84E-06	NA	NA	7.82E-06	7.85E-06	7.83E-06	NA	7.80E-06	7.84E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.47E-04	NA	NA	4.20E-04	1.43E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTT	0.001070329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.81E-06	NA	2.28E-05	NA	1.31E-05	NA	NA	NA	NA	1.70E-05	NA	NA	2.20E-05	NA	NA	NA	1.86E-05	NA	NA	NA	NA	1.83E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17E-05	2.09E-05	2.58E-05	2.20E-05	9.84E-06	7.00E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.42E-06
LTR/TRIM	NA	NA	2.85E-06	NA	NA	2.87E-06	2.96E-06	NA	3.16E-06	NA	2.89E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81E-06	2.80E-06	NA	2.80E-06	2.82E-06	2.79E-06	2.80E-06	2.79E-06	NA	NA	2.80E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79E-06	2.82E-06	2.82E-06	NA
TIR/PiggyBac	NA	NA	1.14E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33E-04	NA	4.82E-04	4.36E-04	4.61E-04	4.70E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.63E-04	NA	NA	NA	NA	NA	NA	NA	NA	4.27E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003237698	NA	1.63E-04	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_1	NA	NA	NA	2.39E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_2	NA	NA	NA	4.34E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_4	NA	NA	NA	1.70E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_1	NA	NA	NA	2.04E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_2	NA	NA	NA	7.61E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_3	NA	NA	NA	2.98E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAauto/Helitron	NA	NA	NA	NA	NA	NA	NA	9.64E-06	NA	1.98E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAnona/Helitron	NA	NA	NA	NA	NA	NA	NA	2.54E-05	NA	2.35E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Solo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004495078	NA	NA	NA	NA	5.80E-05	9.20E-05	NA	6.37E-05	NA	NA	6.07E-05	NA	NA	NA	7.90E-05	NA	NA	NA	NA	6.37E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Satellite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.70E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
