class	Histoplasma capsulatum WGSS11	Histoplasma capsulatum WGSS14	Histoplasma capsulatum WGSS16	Histoplasma capsulatum CB053	Histoplasma capsulatum CB055	Histoplasma capsulatum CB062	Histoplasma capsulatum CB063	Histoplasma capsulatum CB064	Histoplasma capsulatum CB065	Histoplasma capsulatum CB066	Histoplasma capsulatum CB168	Histoplasma capsulatum CB174	Histoplasma capsulatum CB180	Histoplasma capsulatum CB186	Histoplasma capsulatum CB192	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 122_p_10B	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum 19VMG-15	Histoplasma capsulatum HCH143	Histoplasma capsulatum HISSP-11571	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum Histo485P20	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum 07-12-RJ	Histoplasma capsulatum SECH_100-G186A	Histoplasma capsulatum SECH_101-G184A	Histoplasma capsulatum SECH_102-505	Histoplasma capsulatum SECH_103-3_11G	Histoplasma capsulatum SECH_104-27_14	Histoplasma capsulatum SECH_105-21_14	Histoplasma capsulatum SECH_107-duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma mississippiense SECH_81-WU24	Histoplasma ohiense SECH_82-CI_4	Histoplasma mississippiense SECH_83-CI_7	Histoplasma mississippiense SECH_84-CI_19	Histoplasma mississippiense SECH_85-CI_22	Histoplasma mississippiense SECH_86-CI_24	Histoplasma mississippiense SECH_87-CI_42	Histoplasma mississippiense SECH_88-CI_43	Histoplasma mississippiense SECH_89-UCLA-531	Histoplasma mississippiense SECH_90-DOWNS	Histoplasma ohiense SECH_91-G217B	Histoplasma ohiense SECH_92-G222B	Histoplasma ohiense SECH_93-CI_6	Histoplasma ohiense SECH_94-CI_9	Histoplasma ohiense SECH_95-CI_10	Histoplasma ohiense SECH_96-CI_17	Histoplasma ohiense SECH_97-CI_18	Histoplasma ohiense SECH_98-CI_30	Histoplasma ohiense SECH_99-CI_35	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-CM7256	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum HISSP-FGFER2036	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum SA15	Blastomyces parvus UAMH130
Simple_repeat	0.012569483	0.012731643	0.012768696	0.014298548	0.014197911	0.013948409	0.01375194	0.013376305	0.013550358	0.013931623	0.013918006	0.013828775	0.014011339	0.013150271	0.014299801	0.01096488	0.011811307	0.00930912	0.011120352	0.010320269	0.010087612	0.012884847	0.012804325	0.01288875	0.012850736	0.012887382	0.012853531	0.013121291	0.012697315	0.012797191	0.012981714	0.012749236	0.009912928	0.013138851	0.013942672	0.009893045	0.013548228	0.015175304	0.012791546	0.014017829	0.014645459	0.013859564	0.013007997	0.012859471	0.012744149	0.015794748	0.01470856	0.014527531	0.01357998	0.012896315	0.014000535	0.012197858	0.011934952	0.015661441	0.016129855	0.015187452	NA	0.01488544	0.01471197	0.015085897	0.01639293	0.014813716	0.015643943	0.015949639	0.015365867	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012349126	0.007206282	0.013748297	0.005344137	0.005377688	0.014330807	0.005387631	0.005188698	0.01440779	0.012198524	0.013587707	0.013072326	0.012696795	0.007842518	0.011382253	0.012720066	0.013193076	0.012402918	0.008784044	0.004974347	0.013032252	0.014632126
TIR/Tc1_Mariner	2.62E-04	NA	5.50E-04	NA	NA	2.47E-04	3.43E-04	1.32E-04	0.001537595	1.51E-04	3.06E-04	2.44E-04	7.18E-04	3.02E-04	3.78E-04	NA	4.76E-04	NA	NA	5.27E-04	NA	4.07E-04	2.88E-04	1.73E-04	8.31E-04	2.02E-04	7.56E-04	8.84E-04	4.26E-04	1.15E-04	3.68E-04	2.83E-04	NA	NA	4.23E-04	NA	NA	NA	NA	NA	NA	NA	NA	2.24E-04	NA	NA	4.77E-04	NA	NA	NA	4.15E-04	NA	4.90E-04	NA	NA	NA	NA	3.09E-04	NA	NA	NA	NA	NA	NA	1.74E-04	NA	2.52E-04	4.62E-04	NA	NA	6.27E-04	NA	NA	4.34E-04	NA	0.001342379	NA	NA	NA	6.81E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001334605	5.65E-04	NA	NA
Unknown	0.031855721	0.031137245	0.030157673	0.056299418	0.028432765	0.048964111	0.046701484	0.042562186	0.049737265	0.048694581	0.04150097	0.046722406	0.044672253	0.04501481	0.043223991	0.048565236	0.038265138	0.090220008	0.026898356	0.032206785	0.044449487	0.032192974	0.031977702	0.032955519	0.029666445	0.0297402	0.031920574	0.033093109	0.031836036	0.031616884	0.031900733	0.030887588	0.057531766	0.0480491	0.092341016	0.056742067	0.056467125	0.04774707	0.062100632	0.074038138	0.061059157	0.072196941	0.049685323	0.031896218	0.02757941	0.057573717	0.051920417	0.037064918	0.015523929	0.045485753	0.057933225	0.097918963	0.053467411	0.032702803	0.062211301	0.02916282	0.022721861	0.025873526	0.027030928	0.028958443	0.029880434	0.027171967	0.028275917	0.029082578	0.030001927	0.022547731	0.046629503	0.033144892	0.030926892	0.031470822	0.022560266	0.030104366	0.034011113	0.019555602	0.065718943	0.074104641	0.075808122	0.011627382	0.020129264	0.056727063	0.012514475	0.023037192	0.070273385	0.034600317	0.039617243	0.013711221	0.025869587	0.011526947	0.018561306	0.01499785	0.018507653	0.008412095	0.024925056	0.016332519	0.05741773	0.00281262
LINE/unknown	NA	0.001354989	9.23E-04	5.15E-04	NA	0.004970097	0.004684718	0.004880965	0.002852401	0.004391313	0.004694607	0.004488094	0.006376897	0.005412226	0.003373699	0.015826398	0.012750871	0.008632583	0.016715516	0.01764222	0.007459641	NA	NA	NA	NA	0.001007843	1.65E-04	9.35E-04	NA	0.001036659	9.14E-04	NA	0.040391471	0.005214084	0.002197115	0.007697237	0.002491025	0.002263565	0.002910492	0.003145496	NA	0.002794272	0.003059349	NA	NA	NA	0.003325584	0.002625085	5.46E-04	0.002371867	0.004229327	0.001360166	0.015536529	0.002726427	NA	0.001913431	0.025492426	0.00124474	0.001343916	0.001749562	0.00149654	0.001353068	0.001430138	0.001459106	0.002674949	0.030597979	NA	0.030105696	0.030637118	0.030411538	0.027666204	0.026892275	0.024923225	0.01767422	0.012631578	0.021021965	0.002832722	NA	NA	0.001928165	NA	NA	9.07E-04	0.001247479	0.005285955	NA	NA	NA	NA	0.001497829	NA	NA	NA	NA	0.00963601	NA
DNA/DTA	NA	NA	NA	7.29E-04	NA	1.39E-04	1.27E-04	1.35E-04	1.36E-04	1.39E-04	1.29E-04	1.49E-04	1.42E-04	1.25E-04	1.50E-04	NA	NA	5.79E-05	NA	NA	3.14E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14E-04	NA	NA	NA	NA	1.55E-04	NA	NA	1.54E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67E-04	NA	1.56E-04	1.53E-04	1.55E-04	1.51E-04	1.73E-04	1.68E-04	1.52E-04	1.60E-04	1.64E-04	1.62E-04	4.20E-04	3.84E-04	NA	0.009232143	NA	0	NA	0	NA	NA	1.44E-05	NA	NA	NA	7.65E-04	NA	NA	NA	0.002148634	NA	8.45E-05	NA	NA	NA	NA	NA	NA	5.30E-04	NA	4.05E-04	NA
MITE/DTC	NA	NA	NA	1.18E-04	1.09E-04	1.57E-05	1.57E-05	1.57E-05	1.54E-05	1.58E-05	1.57E-05	1.58E-05	1.58E-05	1.60E-05	1.57E-05	1.04E-04	1.60E-04	6.55E-05	1.01E-04	NA	1.09E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.46E-04	3.81E-04	NA	4.18E-05	3.72E-04	1.11E-04	NA	NA	8.26E-04	3.69E-04	NA	NA	NA	3.86E-04	1.64E-04	9.69E-05	1.64E-05	NA	NA	2.04E-05	1.34E-04	NA	NA	NA	1.96E-04	1.75E-05	1.70E-05	1.95E-05	1.89E-05	1.71E-05	1.81E-05	1.85E-05	1.87E-05	NA	1.39E-05	NA	1.72E-04	NA	0	1.59E-04	1.74E-05	1.41E-05	1.68E-05	0.021572305	1.62E-05	1.90E-05	2.05E-05	NA	NA	1.96E-05	2.38E-04	1.40E-04	3.95E-05	2.47E-05	NA	NA	NA	NA	NA	NA	NA	3.94E-05	1.40E-04	2.21E-05
DNA/DTH	NA	NA	NA	NA	NA	9.54E-04	0.001236779	2.16E-04	0.002793145	0.001155337	0.001447314	0.002946393	9.88E-04	7.24E-04	0.003393434	6.00E-04	NA	NA	NA	9.06E-05	8.54E-04	NA	NA	NA	NA	3.07E-04	NA	NA	NA	NA	NA	NA	3.21E-05	NA	0.001930311	3.43E-04	7.54E-05	NA	1.26E-04	NA	1.94E-04	NA	4.40E-05	NA	NA	1.10E-04	NA	NA	0.001092598	NA	1.81E-04	NA	NA	8.11E-04	2.89E-04	0.001274353	3.86E-04	0.002956379	0.00277443	1.94E-04	0.003090813	0.002793324	0.002952431	0.003012233	4.99E-04	1.85E-04	1.65E-04	4.79E-04	2.56E-04	1.58E-04	4.48E-04	1.70E-04	1.73E-04	1.69E-04	NA	0.013040551	NA	NA	1.48E-04	1.28E-04	9.61E-04	9.98E-04	1.02E-04	NA	1.06E-04	NA	NA	1.81E-04	NA	NA	NA	NA	NA	0.001560813	0.001103422	NA
MITE/DTH	NA	NA	NA	NA	NA	1.47E-04	NA	0	4.20E-04	1.43E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.84E-06	NA	7.84E-06	NA	7.82E-06	7.85E-06	7.83E-06	NA	7.80E-06	7.84E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.99E-05	NA	NA	NA	NA	NA	NA	NA	NA	8.35E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.61E-06	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	2.19E-05	NA	NA
TIR/PiggyBac	NA	NA	NA	NA	NA	NA	NA	NA	0.003237698	NA	1.63E-04	NA	NA	NA	NA	4.27E-04	NA	NA	NA	NA	NA	NA	NA	NA	1.63E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33E-04	NA	4.82E-04	4.36E-04	4.61E-04	4.70E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTT	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	2.17E-05	2.09E-05	2.58E-05	2.20E-05	9.84E-06	7.00E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001070329	8.81E-06	NA	NA	NA	NA	NA	NA	NA	NA	1.31E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86E-05	2.20E-05	NA	1.70E-05	NA	2.28E-05	NA	1.83E-04	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	9.05E-06	4.42E-06
Satellite	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	1.70E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004495078	6.37E-05	NA	NA	7.90E-05	NA	NA	9.20E-05	5.80E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.37E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Solo	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_1	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_2	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.34E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_4	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.70E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_1	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_2	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.61E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_3	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.98E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAauto/Helitron	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.64E-06	NA	1.98E-06	NA	NA	NA	NA
DNAnona/Helitron	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.54E-05	NA	2.35E-05	NA	NA	NA	NA
Starship	0.038916533	0.041811305	0.025444106	0.015623564	0.021548027	0.01738946	0.027915185	0.035527179	0.025003137	0.009038366	0.014494944	0.021559795	0.024951626	0.010021021	0.022173144	0.013932066	0.003419061	0.013715671	0.00762806	0.005606251	0.000569999	0.03510621	0.035188272	0.038951914	0.049042304	0.04773898	0.05017523	0.02960971	0.03364515	0.03504232	0.04366762	0.04642099	NA	0.007683468	0.001603608	NA	NA	NA	0.001480509	NA	NA	0.00127412	NA	0.048549554	NA	0.009045975	NA	0.008967255	0.005081932	0.005121445	0.001572391	NA	0.006926452	NA	NA	0.027589619	0.007859659	0.020380065	0.029134964	0.025487574	0.021388059	0.028911745	0.027503577	0.032795569	0.021109043	0.006612745	0.000708172	0.00097585	NA	NA	0.002026642	0.00073387	0.002319787	0.000716704	0.001794117	NA	0.002991036	NA	NA	NA	NA	NA	0.00118327	0.004083815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001997468	NA
