id	group	length	boundary
HistocapHCH143_s00863	hap0106	NA	NA
HistocapHCH143_s00864	hap0106	NA	NA
HistocapHCH143_s00865	hap0104	NA	NA
HistocapHISSPCM6408_s00899	hap0046	NA	NA
HistocapHISSPFGAMA2041_s00945	hap0090	NA	NA
HistocapHISSPFGAMA2041_s00946	hap0053	NA	NA
HistocapHISSPFGBIK2051_s00948	hap0054	NA	NA
HistocapHISSPFGBIK2051_s00950	hap0053	NA	NA
HistocapHISSPFGBON2001_s00953	hap0090	NA	NA
HistocapHISSPFGBON2001_s00954	hap0054	NA	NA
HistocapHISSPFGBON2001_s00955	hap0107	NA	NA
HistocapHISSPFGFAN2059_s00965	hap0053	NA	NA
HistocapHISSPFGFAN2059_s00967	hap0054	NA	NA
HistocapHISSPFGFAR0189_s00972	hap0075	NA	NA
HistocapHISSPFGFER2036_s00981	hap0054	NA	NA
HistocapHISSPFGFIN2028_s00986	hap0075	NA	NA
HistocapHISSPFGJOS2044_s00995	hap0090	NA	NA
HistocapHISSPFGJOS2044_s00996	hap0053	NA	NA
HistocapHISSPFGPIA2052_s01028	hap0053	NA	NA
HistocapHISSPFGPIE2055_s01030	hap0107	NA	NA
HistocapHISSPFGPIE2055_s01031	hap0054	NA	NA
HistocapHISSPFGPSO2043_s01037	hap0075	NA	NA
HistocapHISSPFGTRO0285_s01048	hap0075	NA	NA
HistocapHISSP11571_s01060	hap0054	NA	NA
HistocapHISSP11571_s01061	hap0053	NA	NA
HistocapH88_s01067	hap0065	NA	NA
HistocapH88_s01068	hap0101	NA	NA
HistocapH88_s01070	hap0108	NA	NA
HistocapH88_s01076	hap0109	NA	NA
HistocapH88_s01077	hap0109	NA	NA
HistocapH88_s01089	hap0089	NA	NA
HistocapH88_s01090	hap0110	NA	NA
HistocapH88_s01092	hap0074	NA	NA
HistocapH88_s01093	hap0052	NA	NA
HistocapJBHc042430_s01176	hap0111	NA	NA
HistocapJBHc083285_s01270	hap0111	NA	NA
HistocapNACVFRHC10700582_s01305	hap0112	NA	NA
HistocapSA15_s01327	hap0047	NA	NA
HistocapSA15_s01328	hap0066	NA	NA
HistocapSA15_s01330	hap0076	NA	NA
HistocapSA15_s01331	hap0067	NA	NA
HistocapSECH100_s01336	hap0095	NA	NA
HistocapSECH100_s01337	hap0049	NA	NA
HistocapSECH100_s01338	hap0046	NA	NA
HistocapSECH100_s01341	hap0061	NA	NA
HistocapSECH100_s01342	hap0050	NA	NA
HistocapSECH101_s01344	hap0049	NA	NA
HistocapSECH101_s01345	hap0046	NA	NA
HistocapSECH101_s01346	hap0059	NA	NA
HistocapSECH101_s01347	hap0060	NA	NA
HistocapSECH101_s01349	hap0088	NA	NA
HistocapSECH101_s01350	hap0061	NA	NA
HistocapSECH101_s01351	hap0050	NA	NA
HistocapSECH101_s01352	hap0062	NA	NA
HistocapSECH107_s01356	hap0108	NA	NA
HistocapSECH107_s01358	hap0074	NA	NA
HistocapSECH107_s01360	hap0089	NA	NA
HistocapSECH107_s01362	hap0110	NA	NA
HistocapSECH110_s01432	hap0047	NA	NA
HistocapSECH110_s01433	hap0068	NA	NA
HistocapSECH110_s01434	hap0066	NA	NA
HistocapWGSS11_s01440	hap0040	NA	NA
HistocapWGSS11_s01441	hap0014	NA	NA
HistocapWGSS11_s01442	hap0023	NA	NA
HistocapWGSS11_s01443	hap0048	NA	NA
HistocapWGSS11_s01444	hap0015	NA	NA
HistocapWGSS11_s01445	hap0027	NA	NA
HistocapWGSS11_s01446	hap0028	NA	NA
HistocapWGSS11_s01447	hap0024	NA	NA
HistocapWGSS11_s01449	hap0091	NA	NA
HistocapWGSS11_s01450	hap0016	NA	NA
HistocapWGSS11_s01451	hap0017	NA	NA
HistocapWGSS11_s01453	hap0018	NA	NA
HistocapWGSS11_s01454	hap0035	NA	NA
HistocapWGSS11_s01455	hap0019	NA	NA
HistocapWGSS11_s01457	hap0025	NA	NA
HistocapWGSS11_s01458	hap0020	NA	NA
HistocapWGSS11_s01460	hap0021	NA	NA
HistocapWGSS14_s01498	hap0077	NA	NA
HistocapWGSS14_s01499	hap0014	NA	NA
HistocapWGSS14_s01500	hap0023	NA	NA
HistocapWGSS14_s01501	hap0069	NA	NA
HistocapWGSS14_s01502	hap0015	NA	NA
HistocapWGSS14_s01503	hap0027	NA	NA
HistocapWGSS14_s01505	hap0028	NA	NA
HistocapWGSS14_s01506	hap0024	NA	NA
HistocapWGSS14_s01508	hap0031	NA	NA
HistocapWGSS14_s01509	hap0016	NA	NA
HistocapWGSS14_s01510	hap0017	NA	NA
HistocapWGSS14_s01512	hap0018	NA	NA
HistocapWGSS14_s01513	hap0036	NA	NA
HistocapWGSS14_s01514	hap0035	NA	NA
HistocapWGSS14_s01515	hap0019	NA	NA
HistocapWGSS14_s01517	hap0025	NA	NA
HistocapWGSS14_s01518	hap0020	NA	NA
HistocapWGSS14_s01520	hap0021	NA	NA
HistocapWGSS16_s01547	hap0014	NA	NA
HistocapWGSS16_s01548	hap0048	NA	NA
HistocapWGSS16_s01549	hap0048	NA	NA
HistocapWGSS16_s01550	hap0015	NA	NA
HistocapWGSS16_s01552	hap0031	NA	NA
HistocapWGSS16_s01553	hap0016	NA	NA
HistocapWGSS16_s01554	hap0017	NA	NA
HistocapWGSS16_s01556	hap0018	NA	NA
HistocapWGSS16_s01558	hap0019	NA	NA
HistocapWGSS16_s01560	hap0020	NA	NA
HistocapWGSS16_s01562	hap0021	NA	NA
Histocap104p06_s01627	hap0014	NA	NA
Histocap104p06_s01628	hap0023	NA	NA
Histocap104p06_s01629	hap0048	NA	NA
Histocap104p06_s01630	hap0015	NA	NA
Histocap104p06_s01631	hap0027	NA	NA
Histocap104p06_s01632	hap0028	NA	NA
Histocap104p06_s01634	hap0024	NA	NA
Histocap104p06_s01636	hap0031	NA	NA
Histocap104p06_s01637	hap0016	NA	NA
Histocap104p06_s01638	hap0017	NA	NA
Histocap104p06_s01640	hap0018	NA	NA
Histocap104p06_s01641	hap0036	NA	NA
Histocap104p06_s01642	hap0035	NA	NA
Histocap104p06_s01643	hap0019	NA	NA
Histocap104p06_s01644	hap0055	NA	NA
Histocap104p06_s01645	hap0025	NA	NA
Histocap104p06_s01646	hap0020	NA	NA
Histocap104p06_s01648	hap0021	NA	NA
Histocap117p12_s01682	hap0056	NA	NA
Histocap117p12_s01683	hap0040	NA	NA
Histocap117p12_s01684	hap0014	NA	NA
Histocap117p12_s01685	hap0023	NA	NA
Histocap117p12_s01686	hap0015	NA	NA
Histocap117p12_s01687	hap0027	NA	NA
Histocap117p12_s01688	hap0028	NA	NA
Histocap117p12_s01689	hap0024	NA	NA
Histocap117p12_s01691	hap0091	NA	NA
Histocap117p12_s01692	hap0016	NA	NA
Histocap117p12_s01693	hap0017	NA	NA
Histocap117p12_s01695	hap0078	NA	NA
Histocap117p12_s01696	hap0018	NA	NA
Histocap117p12_s01697	hap0036	NA	NA
Histocap117p12_s01698	hap0035	NA	NA
Histocap117p12_s01699	hap0019	NA	NA
Histocap117p12_s01701	hap0025	NA	NA
Histocap117p12_s01702	hap0020	NA	NA
Histocap117p12_s01704	hap0021	NA	NA
Histocap122p10B_s01734	hap0040	NA	NA
Histocap122p10B_s01735	hap0023	NA	NA
Histocap122p10B_s01736	hap0014	NA	NA
Histocap122p10B_s01737	hap0069	NA	NA
Histocap122p10B_s01738	hap0015	NA	NA
Histocap122p10B_s01739	hap0027	NA	NA
Histocap122p10B_s01741	hap0028	NA	NA
Histocap122p10B_s01742	hap0024	NA	NA
Histocap122p10B_s01743	hap0091	NA	NA
Histocap122p10B_s01744	hap0016	NA	NA
Histocap122p10B_s01745	hap0017	NA	NA
Histocap122p10B_s01747	hap0018	NA	NA
Histocap122p10B_s01749	hap0036	NA	NA
Histocap122p10B_s01750	hap0035	NA	NA
Histocap122p10B_s01751	hap0019	NA	NA
Histocap122p10B_s01753	hap0025	NA	NA
Histocap122p10B_s01754	hap0020	NA	NA
Histocap122p10B_s01756	hap0021	NA	NA
Histocap136P07_s01787	hap0056	NA	NA
Histocap136P07_s01788	hap0040	NA	NA
Histocap136P07_s01789	hap0014	NA	NA
Histocap136P07_s01790	hap0023	NA	NA
Histocap136P07_s01791	hap0015	NA	NA
Histocap136P07_s01792	hap0027	NA	NA
Histocap136P07_s01793	hap0028	NA	NA
Histocap136P07_s01794	hap0024	NA	NA
Histocap136P07_s01796	hap0031	NA	NA
Histocap136P07_s01797	hap0016	NA	NA
Histocap136P07_s01798	hap0017	NA	NA
Histocap136P07_s01800	hap0018	NA	NA
Histocap136P07_s01801	hap0036	NA	NA
Histocap136P07_s01802	hap0035	NA	NA
Histocap136P07_s01803	hap0019	NA	NA
Histocap136P07_s01805	hap0025	NA	NA
Histocap136P07_s01806	hap0020	NA	NA
Histocap136P07_s01808	hap0021	NA	NA
Histocap144p08_s01845	hap0056	NA	NA
Histocap144p08_s01846	hap0077	NA	NA
Histocap144p08_s01847	hap0014	NA	NA
Histocap144p08_s01848	hap0023	NA	NA
Histocap144p08_s01849	hap0069	NA	NA
Histocap144p08_s01850	hap0015	NA	NA
Histocap144p08_s01851	hap0027	NA	NA
Histocap144p08_s01853	hap0028	NA	NA
Histocap144p08_s01854	hap0024	NA	NA
Histocap144p08_s01856	hap0031	NA	NA
Histocap144p08_s01857	hap0016	NA	NA
Histocap144p08_s01858	hap0017	NA	NA
Histocap144p08_s01861	hap0018	NA	NA
Histocap144p08_s01862	hap0113	NA	NA
Histocap144p08_s01863	hap0036	NA	NA
Histocap144p08_s01864	hap0035	NA	NA
Histocap144p08_s01865	hap0019	NA	NA
Histocap144p08_s01866	hap0055	NA	NA
Histocap144p08_s01867	hap0025	NA	NA
Histocap144p08_s01868	hap0020	NA	NA
Histocap144p08_s01870	hap0021	NA	NA
Histocap256P18_s01899	hap0056	NA	NA
Histocap256P18_s01900	hap0040	NA	NA
Histocap256P18_s01901	hap0014	NA	NA
Histocap256P18_s01902	hap0023	NA	NA
Histocap256P18_s01903	hap0015	NA	NA
Histocap256P18_s01904	hap0027	NA	NA
Histocap256P18_s01905	hap0028	NA	NA
Histocap256P18_s01906	hap0024	NA	NA
Histocap256P18_s01908	hap0031	NA	NA
Histocap256P18_s01909	hap0016	NA	NA
Histocap256P18_s01910	hap0017	NA	NA
Histocap256P18_s01913	hap0018	NA	NA
Histocap256P18_s01915	hap0035	NA	NA
Histocap256P18_s01916	hap0019	NA	NA
Histocap256P18_s01917	hap0055	NA	NA
Histocap256P18_s01918	hap0025	NA	NA
Histocap256P18_s01919	hap0020	NA	NA
Histocap256P18_s01921	hap0021	NA	NA
Histocap316p10_s01954	hap0056	NA	NA
Histocap316p10_s01955	hap0077	NA	NA
Histocap316p10_s01956	hap0014	NA	NA
Histocap316p10_s01957	hap0023	NA	NA
Histocap316p10_s01958	hap0015	NA	NA
Histocap316p10_s01959	hap0027	NA	NA
Histocap316p10_s01960	hap0024	NA	NA
Histocap316p10_s01962	hap0031	NA	NA
Histocap316p10_s01963	hap0016	NA	NA
Histocap316p10_s01964	hap0017	NA	NA
Histocap316p10_s01966	hap0018	NA	NA
Histocap316p10_s01967	hap0019	NA	NA
Histocap316p10_s01968	hap0055	NA	NA
Histocap316p10_s01969	hap0025	NA	NA
Histocap316p10_s01970	hap0020	NA	NA
Histocap316p10_s01972	hap0021	NA	NA
Histocap327P12_s02005	hap0035	NA	NA
Histocap327P12_s02007	hap0040	NA	NA
Histocap327P12_s02008	hap0014	NA	NA
Histocap327P12_s02009	hap0023	NA	NA
Histocap327P12_s02010	hap0015	NA	NA
Histocap327P12_s02011	hap0027	NA	NA
Histocap327P12_s02012	hap0028	NA	NA
Histocap327P12_s02013	hap0024	NA	NA
Histocap327P12_s02014	hap0031	NA	NA
Histocap327P12_s02015	hap0016	NA	NA
Histocap327P12_s02016	hap0017	NA	NA
Histocap327P12_s02019	hap0018	NA	NA
Histocap327P12_s02020	hap0036	NA	NA
Histocap327P12_s02021	hap0019	NA	NA
Histocap327P12_s02022	hap0055	NA	NA
Histocap327P12_s02023	hap0036	NA	NA
Histocap327P12_s02024	hap0025	NA	NA
Histocap327P12_s02025	hap0020	NA	NA
Histocap327P12_s02027	hap0021	NA	NA
Histocap343p18_s02055	hap0056	NA	NA
Histocap343p18_s02057	hap0040	NA	NA
Histocap343p18_s02058	hap0014	NA	NA
Histocap343p18_s02059	hap0023	NA	NA
Histocap343p18_s02060	hap0048	NA	NA
Histocap343p18_s02061	hap0015	NA	NA
Histocap343p18_s02062	hap0027	NA	NA
Histocap343p18_s02063	hap0028	NA	NA
Histocap343p18_s02064	hap0024	NA	NA
Histocap343p18_s02065	hap0031	NA	NA
Histocap343p18_s02066	hap0016	NA	NA
Histocap343p18_s02067	hap0017	NA	NA
Histocap343p18_s02069	hap0078	NA	NA
Histocap343p18_s02070	hap0018	NA	NA
Histocap343p18_s02071	hap0036	NA	NA
Histocap343p18_s02072	hap0035	NA	NA
Histocap343p18_s02073	hap0019	NA	NA
Histocap343p18_s02074	hap0055	NA	NA
Histocap343p18_s02075	hap0025	NA	NA
Histocap343p18_s02076	hap0020	NA	NA
Histocap343p18_s02078	hap0021	NA	NA
Histocap388p11_s02107	hap0040	NA	NA
Histocap388p11_s02108	hap0014	NA	NA
Histocap388p11_s02109	hap0023	NA	NA
Histocap388p11_s02110	hap0048	NA	NA
Histocap388p11_s02111	hap0015	NA	NA
Histocap388p11_s02112	hap0028	NA	NA
Histocap388p11_s02113	hap0024	NA	NA
Histocap388p11_s02114	hap0031	NA	NA
Histocap388p11_s02115	hap0016	NA	NA
Histocap388p11_s02116	hap0017	NA	NA
Histocap388p11_s02118	hap0018	NA	NA
Histocap388p11_s02119	hap0036	NA	NA
Histocap388p11_s02121	hap0019	NA	NA
Histocap388p11_s02123	hap0025	NA	NA
Histocap388p11_s02124	hap0020	NA	NA
Histocap388p11_s02126	hap0021	NA	NA
Histocap485P20_s02158	hap0035	NA	NA
Histocap485P20_s02160	hap0040	NA	NA
Histocap485P20_s02161	hap0014	NA	NA
Histocap485P20_s02162	hap0023	NA	NA
Histocap485P20_s02163	hap0069	NA	NA
Histocap485P20_s02164	hap0048	NA	NA
Histocap485P20_s02165	hap0015	NA	NA
Histocap485P20_s02166	hap0027	NA	NA
Histocap485P20_s02167	hap0028	NA	NA
Histocap485P20_s02168	hap0024	NA	NA
Histocap485P20_s02170	hap0031	NA	NA
Histocap485P20_s02171	hap0016	NA	NA
Histocap485P20_s02172	hap0017	NA	NA
Histocap485P20_s02174	hap0078	NA	NA
Histocap485P20_s02175	hap0018	NA	NA
Histocap485P20_s02177	hap0019	NA	NA
Histocap485P20_s02179	hap0025	NA	NA
Histocap485P20_s02180	hap0020	NA	NA
Histocap485P20_s02183	hap0021	NA	NA
Histocap1517p17_s02222	hap0077	NA	NA
Histocap1517p17_s02223	hap0014	NA	NA
Histocap1517p17_s02224	hap0023	NA	NA
